#;TITLE;TYPE;COUNTRY;RELEASE;GENRE;COMPANY;VALUE
250;"Safe House";Movie;"United States";2012-02-10;Thriller;"Universal Pictures";1778
251;"The Main Event";Movie;"United States";2020-04-10;Comedy;Netflix;1750
252;"The Baby-Sitters Club";TV;"United States";2020-07-03;Comedy;Netflix;1725
253;"Bad Boys for Life";Movie;"United States";2020-01-16;Action;"Sony Pictures";1712
254;"Double World";Movie;Hong-Kong;2019-11-22;Action;"Great Earth Film Company";1710
255;Parker;Movie;"United States";2013-01-25;Crime;;1709
256;"Kärlek & Anarki";TV;Sweden;2020-11-04;Drama;Netflix;1707
257;"Schitt's Creek";TV;Canada;2015-01-13;Comedy;;1705
258;Valeria;TV;Spain;2020-05-08;Drama;Netflix;1704
259;"All Together Now";Movie;"United States";2020-08-28;Drama;Netflix;1699
260;"Jumanji: The Next Level";Movie;"United States";2019-12-04;Adventure;"Sony Pictures";1684
261;"A Suitable Boy";TV;"United Kingdom";2020-07-26;Drama;;1661
262;Hollywood;TV;"United States";2020-05-01;Drama;Netflix;1659
263;"A Star is Born";Movie;"United States";2018-05-16;Drama;MGM;1645
264;Undercover;TV;Belgium;2019-02-24;Crime;Netflix;1643
265;Tammy;Movie;"United States";2014-07-03;Comedy;;1612
266;"Anne with an E";TV;Canada;2017-03-19;Drama;Netflix;1608
267;"The Gift";TV;Turkey;2019-12-27;Mystery;Netflix;1607
268;"The Woods";TV;Poland;2020-06-12;Crime;Netflix;1602
269;"Hillbilly Elegy";Movie;"United States";2020-11-24;Drama;Netflix;1602
270;Siberia;Movie;"United States";2018-07-13;Crime;"Company Films";1598
271;"Behzat Ç.";TV;Turkey;2010-09-19;Crime;;1594
272;Intuition;Movie;Argentina;2020-05-28;Crime;Netflix;1592
273;"A Simple Favor";Movie;"United States";2018-09-13;Crime;;1591
274;"Earth and Blood";Movie;France;2020-04-17;Action;Netflix;1584
275;"Chica Vampiro";TV;Colombia;2013-05-14;"Science Fiction";;1583
276;"Sex Education";TV;"United States";2019-01-11;Comedy;Netflix;1574
277;"The Uncanny Counter";TV;"South Korea";2020-11-28;Fantasy;;1563
278;"Escape Plan";Movie;"United States";2013-11-13;Action;"Summit Entertainment";1563
279;"Teenage Bounty Hunters";TV;"United States";2020-08-14;Comedy;Netflix;1554
280;Bloodshot;Movie;"United States";2020-02-20;"Science Fiction";"Sony Pictures";1533
281;"Pacific Rim: Uprising";Movie;"United States";2018-03-21;"Science Fiction";"Universal Pictures";1523
282;Lucy;Movie;"United States";2014-07-25;Action;"Universal Pictures";1519
283;"Baby Driver";Movie;"United States";2017-06-28;Action;"Sony Pictures";1517
284;"Do Do Sol Sol La La Sol";TV;"South Korea";2020-10-07;Comedy;Netflix;1507
285;"The Good Place";TV;"United States";2016-09-19;Comedy;NBC;1500
286;Cadaver;Movie;Norway;2020-10-22;Horror;Netflix;1489
287;"Nobody Sleeps In The Woods Tonight";Movie;Poland;2020-10-28;Horror;Netflix;1477
288;"Cinderela Pop";Movie;Brazil;2019-02-28;Comedy;"Good Films";1476
289;"Crazy Rich Asians";Movie;"United States";2018-08-15;Comedy;"Warner Bros. Pictures";1471
290;"Despicable Me 3";Movie;"United States";2017-06-15;Animated;"Universal Pictures";1461
291;"Scooby-Doo 2: Monsters Unleashed";Movie;"United States";2004-03-20;Fantasy;"Warner Bros. Pictures";1460
292;"Ready Player One";Movie;"United States";2018-03-28;"Science Fiction";"Warner Bros. Pictures";1448
293;"Death to 2020";Movie;"United States";2020-12-27;Comedy;Netflix;1425
294;Norbit;Movie;"United States";2007-02-08;Comedy;DreamWorks;1420
295;"The Big Show Show";TV;"United States";2020-04-06;Comedy;Netflix;1413
296;"Dare Me";TV;"United States";2019-12-29;Crime;Netflix;1408
297;Ted;Movie;"United States";2012-06-29;Comedy;"Universal Pictures";1395
298;It;Movie;"United States";2017-09-05;Horror;"Warner Bros. Pictures";1392
299;"Wasp Network";Movie;France;2020-06-19;Drama;;1389
300;"Wizards: Tales of Arcadia";TV;"United States";2020-08-07;Animation;Netflix;1373
301;"All Day and a Night";Movie;"United States";2020-05-01;Drama;Netflix;1368
302;"Glow Up: Britain's Next Make-Up Star";TV;"United Kingdom";2019-03-05;Reality-Show;;1360
303;"Indian Matchmaking";TV;"United States";2020-07-16;Reality-Show;;1346
304;"Ocean's 8";Movie;"United States";2018-06-08;Crime;"Warner Bros. Pictures";1334
305;"Alexa & Katie";TV;"United States";2018-03-23;Comedy;Netflix;1332
306;"12 Strong";Movie;"United States";2018-01-16;War;"Lions Gate";1323
307;"The Fabulous Lives of Bollywood Wives";TV;India;2020-11-27;Reality-Show;Netflix;1315
308;"Bad Boy Billionaires: India";TV;India;2020-09-02;Documentary;;1312
309;"Cable Girls";TV;Spain;2017-04-28;Drama;Netflix;1305
310;"The Letter for the King";TV;"United Kingdom";2020-03-20;Fantasy;Netflix;1300
311;"How to Train Your Dragon: The Hidden World";Movie;"United States";2019-01-23;Animated;"Universal Pictures";1298
312;"Wonder Woman";Movie;"United States";2017-05-30;Superhero;"Warner Bros. Pictures";1293
313;"The Fall";TV;"United Kingdom";2013-05-12;Crime;"BBC Two";1271
314;"Reply 1988";TV;"South Korea";2015-11-06;Comedy;;1264
315;Becoming;Movie;"United States";2020-05-06;Documentary;Netflix;1243
316;"Princess Sarah";TV;Philippines;2007-11-12;Drama;;1240
317;"One Piece";TV;Japan;1999-10-20;Animation;;1239
318;"The Occupant";Movie;Spain;2020-03-25;Crime;"Nostromo Pictures";1239
319;"Sniper: Ultimate Kill";Movie;"United States";2017-10-03;Action;;1236
320;"Ride Along";Movie;"United States";2014-01-17;Comedy;"Universal Pictures";1233
321;"The Liberator";TV;"United States";2020-11-11;Animation;Netflix;1232
322;Torbaaz;Movie;India;2020-12-11;Drama;"Little Lamb Films Pvt. Ltd.";1226
323;Blockers;Movie;"United States";2018-03-14;Comedy;"Universal Pictures";1223
324;"Inside the World's Toughest Prisons";TV;"United Kingdom";2016-04-20;Documentary;Netflix;1220
325;Summertime;TV;Italy;2020-04-29;Drama;Netflix;1219
326;"Ginny Weds Sunny";Movie;India;2020-10-09;Comedy;Netflix;1209
327;Ethos;TV;Turkey;2020-11-12;Drama;Netflix;1206
328;"King Arthur: Legend of the Sword";Movie;"United Kingdom";2017-03-22;Fantasy;"Warner Bros. Pictures";1205
329;"Offering to the Storm";Movie;Spain;2020-07-24;Thriller;Netflix;1203
330;"Have a Good Trip: Adventures in Psychedelics";Movie;"United States";2020-05-11;Documentary;Netflix;1202
331;"Johnny English Reborn";Movie;"United Kingdom";2011-09-15;Comedy;"Universal Pictures";1196
332;Adú;Movie;Spain;2020-07-01;Drama;;1189
333;"Gemini Man";Movie;"United States";2019-10-02;"Science Fiction";"Skydance Media";1189
334;"Harry Potter and the Prisoner of Azkaban";Movie;"United Kingdom";2004-05-31;Fantasy;"Warner Bros. Pictures";1186
335;"Unfriended: Dark Web";Movie;"United States";2018-07-19;Horror;;1184
336;Upgrade;Movie;"United States";2018-06-01;"Science Fiction";;1184
337;Vacation;Movie;"United States";2015-07-29;Comedy;;1182
338;Savages;Movie;"United States";2012-07-06;Thriller;Ixtlan;1177
339;"The Hater";Movie;Poland;2020-07-29;Drama;"Canal+ Polska";1168
340;"After Life";TV;"United Kingdom";2019-03-08;Comedy;Netflix;1168
341;"Fast Five";Movie;"United States";2011-04-28;Action;"Universal Pictures";1168
342;"I'm Thinking of Ending Things";Movie;"United States";2020-09-04;Thriller;Netflix;1167
343;"The Crimes That Bind";Movie;Argentina;2020-08-20;Crime;Netflix;1163
344;"Tom and Jerry: The Movie";Movie;"United States";1992-10-01;Animated;"Warner Bros. Pictures";1159
345;"The Nun";Movie;"United States";2018-07-11;Horror;"Warner Bros. Pictures";1148
346;"The Angry Birds Movie 2";Movie;"United States";2019-08-02;Animated;"Sony Pictures";1146
347;Chiquititas;TV;Brazil;2013-07-15;Comedy;;1143
348;"Alguien tiene que morir";TV;Mexico;2020-10-16;Crime;Netflix;1142
349;"The Silence of the Marsh";Movie;Spain;2020-04-22;Thriller;Netflix;1137
350;"The Decline";Movie;Canada;2020-03-27;Thriller;Netflix;1136
351;"The Lovebirds";Movie;"United States";2020-05-21;Comedy;Netflix;1127
352;"Space Jam";Movie;"United States";1996-11-15;Comedy;"Warner Bros. Pictures";1121
353;"American Sniper";Movie;"United States";2014-12-25;War;"Warner Bros. Pictures";1119
354;Goblin;TV;"South Korea";2016-12-02;Fantasy;;1118
355;"Fantastic Beasts: The Crimes of Grindelwald";Movie;"United Kingdom";2018-11-14;Fantasy;"Warner Bros. Pictures";1117
356;"Mercury Rising";Movie;"United States";1998-04-03;Thriller;"Universal Pictures";1115
357;"The Losers";Movie;"United States";2010-04-23;Action;;1112
358;Neighbors;Movie;"United States";2014-05-08;Comedy;"Universal Pictures";1105
359;Mismatched;TV;India;2020-11-20;Drama;Netflix;1097
360;"Peppa Pig";TV;"United Kingdom";2004-05-31;Animation;"Entertainment One";1093
361;Marcella;TV;"United Kingdom";2016-04-04;Crime;Netflix;1090
362;"The Worst Witch";TV;"United Kingdom";2017-01-11;Fantasy;Netflix;1088
363;Curon;TV;Italy;2020-06-10;Fantasy;Netflix;1082
364;"Close Enough";TV;"United States";2020-09-15;Animation;HBO;1079
365;"SpongeBob SquarePants";TV;"United States";1999-05-01;Animation;Nickelodeon;1079
366;Battleship;Movie;"United States";2012-04-11;"Science Fiction";;1079
367;"Blood Diamond";Movie;"United States";2006-12-07;Thriller;"Warner Bros. Pictures";1063
368;"Million Dollar Beach House";TV;"United States";2020-08-26;Reality-Show;Netflix;1062
369;Dunkirk;Movie;"United Kingdom";2017-07-19;War;"Warner Bros. Pictures";1062
370;"Truth or Dare";Movie;"United States";2018-04-12;Horror;"Blumhouse Productions";1059
371;"What We Wanted";Movie;Austria;2020-11-11;Drama;Netflix;1046
372;"La Piloto";TV;Mexico;2017-03-07;Drama;;1043
373;"The Impossible";Movie;Spain;2012-10-11;Thriller;;1037
374;"The Protector";TV;Turkey;2018-12-14;Mystery;Netflix;1033
375;Wanted;Movie;"United States";2008-06-26;Superhero;"Universal Pictures";1033
376;"The 2nd";Movie;"United States";2020-09-01;Action;;1031
377;"Hi Bye, Mama!";TV;"South Korea";2020-04-25;Drama;Netflix;1027
378;"Charlie's Angels";Movie;"United States";2019-11-07;Action;"Sony Pictures";1020
379;"The Lorax";Movie;"United States";2012-03-01;Animated;"Universal Pictures";1015
380;Oloture;Movie;Nigeria;2020-10-03;Crime;Netflix;1013
381;"The Mask";Movie;"United States";1994-07-29;Comedy;"Warner Bros. Pictures";1005
382;"Blade Runner 2049";Movie;"United States";2017-10-04;"Science Fiction";"Warner Bros. Pictures";1001
383;"After We Collided";Movie;"United States";2020-09-02;Romance;"Open Road Films";993
384;Community;TV;"United States";2009-09-17;Comedy;NBC;992
385;Citation;Movie;Nigeria;2020-11-05;Drama;Netflix;983
386;"Julie and the Phantoms";TV;"United States";2020-09-10;Comedy;Netflix;978
387;Stateless;TV;Australia;2020-03-01;Drama;;966
388;"No Manches Frida";Movie;Mexico;2016-09-02;Comedy;;965
389;"Serious Men";Movie;India;2020-10-02;Comedy;Netflix;957
390;"Jumanji: Welcome to the Jungle";Movie;"United States";2017-12-20;Adventure;"Sony Pictures";950
391;"A Quiet Place";Movie;"United States";2018-04-03;Horror;"Paramount Pictures";949
392;"Dolly Kitty and Those Shining Stars";Movie;India;2020-09-18;Comedy;"Balaji Motion Pictures";948
393;"Athlete A";Movie;"United States";2020-06-24;Documentary;Netflix;948
394;Parasite;Movie;"South Korea";2019-05-30;Drama;;947
395;"Fire Force";TV;Japan;2019-07-06;Animation;;945
396;"His House";Movie;"United States";2020-10-30;Thriller;Netflix;936
397;"From Prada to Nada";Movie;Mexico;2011-01-28;Comedy;;935
398;Doomsday;Movie;"United Kingdom";2008-03-14;Thriller;"Rogue Pictures";934
399;(Un)Well;TV;"United States";2020-08-12;Documentary;Netflix;933
400;"Sniper: Legacy";Movie;"United States";2014-09-30;Action;;932
401;"The Queen of Flow";TV;Colombia;2018-06-12;Drama;Netflix;927
402;"Gunjan Saxena: The Kargil Girl";Movie;India;2020-08-12;War;Netflix;925
403;"Howls Moving Castle";Movie;Japan;2004-11-19;Animated;"Studio Ghibli";922
404;Joker;Movie;"United States";2019-10-02;Superhero;"Warner Bros. Pictures";917
405;"Rosario Tijeras";Movie;Colombia;2005-08-12;Drama;;914
406;"Grown Ups";Movie;"United States";2010-06-24;Comedy;"Sony Pictures";914
407;"Rich in Love";Movie;Brazil;2020-04-30;Comedy;Netflix;912
408;"New Girl";TV;"United States";2011-09-20;Comedy;;912
409;"18 Presents";Movie;Italy;2020-01-02;Drama;;907
410;"Room 2806: The Accusation";TV;France;2020-12-07;Documentary;Netflix;900
411;Ultras;Movie;Italy;2020-03-20;Drama;Netflix;889
412;"Fantasy Island";Movie;"United States";2020-02-06;Horror;"Sony Pictures";888
413;"The Invention of Lying";Movie;"United States";2009-09-13;Comedy;;886
414;"The Stand In";Movie;"United States";2020-12-03;Comedy;;879
415;"Charlie and the Chocolate Factory";Movie;"United States";2005-07-09;Fantasy;"Warner Bros. Pictures";876
416;"The Change-Up";Movie;"United States";2011-08-05;Comedy;;865
417;Alpha;Movie;"United States";2018-08-17;Adventure;"Sony Pictures";860
418;"The Intern";Movie;"United States";2015-09-24;Comedy;"Waverly Films";858
419;"Dream Home Makeover";TV;"United States";2020-10-16;Reality-Show;Netflix;853
420;"Betty en NY";TV;"United States";2019-02-06;Comedy;;853
421;"The Wolf of Wall Street";Movie;"United States";2013-12-25;Drama;"Paramount Pictures";853
422;"Be Careful What You Wish For";Movie;Mexico;2020-04-24;Horror;;851
423;"A Whisker Away";Movie;Japan;2020-06-18;Animated;Netflix;851
424;"Jack Reacher";Movie;"United States";2012-12-21;Thriller;"Paramount Pictures";850
425;"I Love You, Stupid";Movie;Spain;2020-05-15;Comedy;Netflix;848
426;"Class of '83";Movie;India;2020-08-21;Drama;Netflix;845
427;"Death Wish";Movie;"United States";2018-03-02;Action;MGM;845
428;"Get Hard";Movie;"United States";2015-03-27;Comedy;;843
429;"8 Mile";Movie;"United States";2002-11-08;Drama;"Universal Pictures";842
430;"Going in Style";Movie;"United States";2017-04-06;Comedy;;841
431;"He's Out There";Movie;Canada;2018-10-25;Horror;;828
432;"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)";Movie;"United States";2020-02-05;Superhero;"Warner Bros. Pictures";827
433;"Father Figures";Movie;"United States";2017-12-21;Comedy;;826
434;"What's Wrong with Secretary Kim";TV;"South Korea";2018-06-06;Drama;;825
435;"Love is Blind";TV;"United States";2020-02-13;Reality-Show;Netflix;823
436;Shazam!;Movie;"United States";2019-03-23;Superhero;"Warner Bros. Pictures";818
437;Contagion;Movie;"United States";2011-09-09;Thriller;"Warner Bros. Pictures";816
438;"The Legend of Korra";TV;"United States";2012-04-14;Fantasy;Nickelodeon;814
439;Cuties;Movie;France;2020-09-09;Drama;Netflix;805
440;"Masaba Masaba";TV;India;2020-08-28;Comedy;Netflix;803
441;"Den of Thieves";Movie;"United States";2018-01-18;Action;;803
442;"Recep Ivedik 6";Movie;Turkey;2019-11-07;Comedy;;802
443;"Sicario: Day Of The Soldado";Movie;"United States";2018-06-29;Crime;;802
444;"The Mule";Movie;"United States";2018-12-14;Drama;"Warner Bros. Pictures";798
445;"The SpongeBob SquarePants Movie";Movie;"United States";2004-11-14;Animated;Nickelodeon;798
446;"Keeping Up with the Kardashians";TV;"United States";2007-10-14;Reality-Show;;797
447;"Raat Akeli Hai";Movie;India;2020-07-31;Crime;Netflix;794
448;"Self Made: Inspired by the Life of Madam C.J. Walker";TV;"United States";2020-03-20;Drama;Netflix;794
449;"My Hero Academia";TV;Japan;2016-04-03;Animation;;792
450;"The Irishman";Movie;"United States";2019-12-31;Drama;Netflix;791
451;"Life of the Party";Movie;"United States";2018-05-10;Comedy;"New Line Cinema";791
452;"Robin Hood";Movie;"United States";2018-09-01;Adventure;;790
453;"Run All Night";Movie;"United States";2015-03-13;Action;"Vertigo Entertainment";787
454;"Jack Ryan: Shadow Recruit";Movie;"United States";2014-01-17;Action;"Paramount Pictures";786
455;"Coronavirus, Explained";TV;"United Kingdom";2020-04-26;Documentary;Netflix;782
456;"The Duchess";TV;"United Kingdom";2020-09-11;Comedy;Netflix;780
457;"Slender Man";Movie;"United States";2018-08-22;Horror;Sony;780
458;"Cloudy with a Chance of Meatballs 2";Movie;"United States";2013-09-27;Animated;"Sony Pictures";779
459;"Think Like a Dog";Movie;"United States";2020-06-05;Comedy;;777
460;"Unknown Origins";Movie;Spain;2020-08-28;Crime;Netflix;776
461;"The Big Bang Theory";TV;"United States";2007-09-24;Comedy;CBS;776
462;"G.I. Joe: Retaliation";Movie;"United States";2013-03-29;"Science Fiction";"Paramount Pictures";772
463;"Los favoritos de Midas";TV;Spain;2020-11-13;Drama;Netflix;769
464;Baki;TV;Japan;2018-06-26;Animation;Netflix;769
465;"Attack on Titan";TV;Japan;2013-04-06;Animation;;769
466;"Assassin's Creed";Movie;"United States";2016-12-21;"Science Fiction";"20th Century Fox";765
467;Outlander;TV;"United States";2014-08-09;Drama;Starz;764
468;"Instructions Not Included";Movie;Mexico;2013-07-20;Drama;;762
469;"The SpongeBob Movie: Sponge Out of Water";Movie;"United States";2015-02-06;Animated;"Paramount Pictures";760
470;"Mamma Mia: Here We Go Again!";Movie;"United States";2018-07-19;Music;"Universal Pictures";759
471;"The Foreigner";Movie;"United Kingdom";2017-09-28;Thriller;;754
472;"The Legacy of the Bones";Movie;Spain;2019-12-05;Crime;Netflix;749
473;"The Victims' Game";TV;Taiwan;2020-04-30;Crime;Netflix;748
474;"Fast and Furious Spy Racers";TV;"United States";2019-12-26;Animation;Netflix;748
475;"Breaking In";Movie;"United States";2018-05-05;Crime;;748
476;Faster;Movie;"United States";2010-11-23;Thriller;;747
477;"Due Date";Movie;"United States";2010-11-04;Comedy;"Warner Bros. Pictures";744
478;"Jujutsu Kaisen";TV;Japan;2020-10-03;Animation;;741
479;"We Are the Champions";TV;"United States";2020-11-17;Documentary;Netflix;737
480;"Little Italy";Movie;Canada;2018-08-24;Comedy;;737
481;"It Chapter Two";Movie;"United States";2019-09-04;Horror;"Warner Bros. Pictures";731
482;"Harry Potter and the Half-Blood Prince";Movie;"United Kingdom";2009-07-07;Fantasy;"Warner Bros. Pictures";728
483;"The House of Flowers";TV;Mexico;2018-08-10;Drama;Netflix;726
484;"Carmel: Who Killed Maria Marta?";TV;Argentina;2020-11-05;Documentary;Netflix;725
485;"Mary Queen of Scots";Movie;"United Kingdom";2018-12-21;History;"Universal Pictures";723
486;"The Ninth Gate";Movie;France;1999-12-23;Thriller;"Canal Plus";723
487;H;TV;France;1998-10-24;Comedy;;721
488;Sing;Movie;"United States";2016-12-21;Animated;"Universal Pictures";720
489;"John Wick: Chapter Two";Movie;"United States";2017-02-10;Action;"Summit Entertainment";708
490;Sergio;Movie;"United States";2020-04-17;Drama;Netflix;707
491;"Latte and the Magic Waterstone";Movie;Germany;2019-12-11;Animated;;705
492;"300: Rise of an Empire";Movie;"United States";2014-03-07;History;"Warner Bros. Pictures";703
493;"The School Nurse Files";TV;"South Korea";2020-09-25;Fantasy;Netflix;701
494;"Challenger: The Final Flight";TV;"United States";2020-09-16;Documentary;Netflix;700
495;Scooby-Doo;Movie;"United States";2002-06-14;Adventure;"Warner Bros. Pictures";697
496;"O Vendedor de Sonhos";Movie;Brazil;2016-12-08;Drama;;693
497;"Mohamed Hussein";Movie;Lebanon;2019-07-25;Comedy;;692
498;Contraband;Movie;"United States";2012-01-13;Thriller;"Universal Pictures";690
499;"El Testamento de la Abuela";Movie;Mexico;2020-10-09;Comedy;;689
500;"Pride & Prejudice";Movie;"United Kingdom";2005-09-16;Romance;"Universal Pictures";688
